Personaje,Sexo,Comprobado
PADRE,MALE,True
ADAMO,MALE,True
EMANUEL,MALE,True
PRIMAVERA,FEMALE,True
ESTÍO,MALE,True
OTOÑO,MALE,True
INVIERNO,MALE,True
LOS CUATRO,MALE,True
TODOS,MALE,True
MÚSICA,DIVERSE,True
ÉL,MALE,True
LOS DOS,MALE,True
DEMONIO,MALE,True
ÁNGEL,MALE,True
APETITO,MALE,True
RAZÓN,FEMALE,True
LUCERO,MALE,True
AURORA,FEMALE,True
VOCES,DIVERSE,True
LOS TRES,MALE,True
JUSTICIA,FEMALE,True
ANDRÓMEDA,FEMALE,True
ELLA,FEMALE,True
ALBEDRÍO,MALE,True
GRACIA,FEMALE,True
IGNOCIENCIA,FEMALE,True
VOLUNTAD,FEMALE,True
CIENCIA,FEMALE,True
AGUA,FEMALE,True
TODAS,FEMALE,True
LAS TRES,FEMALE,True
CENTRO,MALE,True
MEDUSA,FEMALE,True
PERSEO,MALE,True
VIRTUDES,FEMALE,True
ELEMENTOS,MALE,True
TIERRA,FEMALE,True
FUEGO,MALE,True
AIRE,MALE,True
UNOS,MALE,True
OTROS,MALE,True
MERCURIO,MALE,True
PECADO,MALE,True
HOMBRE,MALE,True
LASCIVIA,FEMALE,True
SOBERBIA,FEMALE,True
AVARICIA,FEMALE,True
GULA,FEMALE,True
ENVIDIA,FEMALE,True
PEREZA,FEMALE,True
IRA,FEMALE,True
OÍDO,MALE,True
IGLESIA,FEMALE,True
ELLAS,FEMALE,True
VICIOS,MALE,True
AMOR,MALE,True
TEMOR,MALE,True
CULTO,MALE,True
OBEDIENCIA,FEMALE,True
PERDÓN,MALE,True
SEGURIDAD,FEMALE,True
CASTIDAD,FEMALE,True
LOS CINCO,MALE,True
VERDAD,FEMALE,True
DESPRECIO,MALE,True
HONOR,MALE,True
LUZBEL,MALE,True
MUNDO,MALE,True
FEE,FEMALE,True
IDOLATRÍA,FEMALE,True
GOLIAT,MALE,True
FINEÉS,MALE,True
IRÁN,MALE,True
ABIUD,MALE,True
TURPÍN,MALE,True
OFNÍ,MALE,True
LOS OTROS DOS,MALE,True
SAMUEL,MALE,True
MIGUEL,MALE,True
SOLDADOS,MALE,True
SOLDADO,MALE,True
UNO,MALE,True
SINAGOGA,FEMALE,True
GUZMÁN,MALE,True
DON LUIS,MALE,True
DON JUAN,MALE,True
ESPINEL,MALE,True
INÉS,FEMALE,True
ANA,FEMALE,True
MARÍA,FEMALE,True
DON BERNARDO,MALE,True
DON DIEGO,MALE,True
JUANA,FEMALE,True
SAN MIGUEL,MALE,True
HORNOS,MALE,True
WEIMAR,MALE,True
FABRICIO,MALE,True
REY,MALE,True
INFANTE,MALE,True
TEUTÓNICO,MALE,True
GALASO,MALE,True
LEGANÉS,MALE,True
IDIÁQUEZ,MALE,True
RIVERA,MALE,True
REINA,FEMALE,True
DANIEL,MALE,True
PENSAMIENTO,MALE,True
BALTASAR,MALE,True
VANIDAD,FEMALE,True
MUERTE,FEMALE,True
LAS DOS,FEMALE,True
ESTATUA,FEMALE,True
RENCOR,MALE,True
SOMBRA,FEMALE,True
FAMA,FEMALE,True
ATEÍSMO,MALE,True
GENTILIDAD,FEMALE,True
HEBRAÍSMO,MALE,True
OTRO,MALE,True
APOSTASÍA,FEMALE,True
ALCORÁN,MALE,True
JUDAÍSMO,MALE,True
LA FAMA,FEMALE,True
UNA,FEMALE,True
OTRA,FEMALE,True
PRÍNCIPE,MALE,True
ANDRÉS,MALE,True
PEDRO,MALE,True
JUAN,MALE,True
DIEGO,MALE,True
PABLO,MALE,True
VOZ,DIVERSE,True
APÓSTOLES,MALE,True
BEHOMUD,MALE,True
CANDACES,FEMALE,True
JUNTOS,MALE,True
PITONISA,FEMALE,True
CUIDADO,MALE,True
DESCUIDO,MALE,True
LOS DOS OTROS,MALE,True
DAMAS,FEMALE,True
FE,FEMALE,True
ROMANO,MALE,True
HEBREO,MALE,True
FILIPO,MALE,True
PASTORES,MALE,True
DENTRO,MALE,True
CRIADO,MALE,True
GENTIL,MALE,True
ALÍ,MALE,True
SECTA,FEMALE,True
ALCUZCUZ,MALE,True
ENTENDIMIENTO,MALE,True
VISTA,FEMALE,True
OLFATO,MALE,True
TACTO,MALE,True
GUSTO,MALE,True
CANTAN,DIVERSE,True
ECO,MALE,True
INOCIENCIA,FEMALE,True
NATURALEZA,FEMALE,True
DOS,MALE,True
GENT.,FEMALE,True
JUD.,MALE,True
GENTILISMO,MALE,True
PEREGRINO,MALE,True
CULPA,FEMALE,True
ALMANZOR,MALE,True
GARCÍA,MALE,True
PERNIL,MALE,True
SETA,FEMALE,True
PASCUAL,MALE,True
AMINTA,FEMALE,True
LELIO,MALE,True
NATURALEZA HUMANA,FEMALE,True
CONOCIMIENTO,MALE,True
PENITENCIA,FEMALE,True
CONOCIM.,MALE,True
NATURALEZA DIVINA,FEMALE,True
ELLOS,MALE,True
NATURALEZA DIVINVA,FEMALE,True
INGENIO,MALE,True
MÚS.,DIVERSE,True
TIEMPO,MALE,True
LEY NATURAL,FEMALE,True
ADÁN,MALE,True
LEY ESCRITA,FEMALE,True
MOISÉS,MALE,True
LEY DE GRACIA,FEMALE,True
NOCHE,FEMALE,True
CORRO GRANDE,DIVERSE,True
ZAGAL,MALE,True
NIÑA,FEMALE,True
TODA LA MÚSICA,FEMALE,True
MÚSICA. OTRA VOZ,DIVERSE,True
UNA VOZ,DIVERSE,True
OTRA VOZ,DIVERSE,True
ÁFRICA,FEMALE,True
BAUTISMO,MALE,True
CONFIRMACIÓN,FEMALE,True
EXTREMA UNCIÓN,FEMALE,True
ORDEN,MALE,True
MATRIMONIO,MALE,True
FILOTEA,FEMALE,True
ESPERANZA,FEMALE,True
CARIDAD,FEMALE,True
ECOS,MALE,True
LA MÚSICA,FEMALE,True
BANDO DE SENTIDOS,MALE,True
SENTIDOS,MALE,True
LOS DE LA NAVE,MALE,True
TODOS DEL BANDO DEL MUNDO,MALE,True
NIÑO,MALE,True
GÉNERO,MALE,True
ALBEDRIO,MALE,True
COMUNIÓN,FEMALE,True
EXTREMAUNCIÓN,FEMALE,True
JASÓN,MALE,True
ARGOS,MALE,True
HÉRCULES,MALE,True
TESEO,MALE,True
MEDEA,FEMALE,True
ORFEO,MALE,True
ARISTEO,MALE,True
EURÍDICE,FEMALE,True
AQUERONTE,MALE,True
PARAÍSO,MALE,True
RELIGIÓN,FEMALE,True
LETEO,MALE,True
PLACER,MALE,True
LOS DÍAS,MALE,True
DOS COROS,MALE,True
LISONJA,FEMALE,True
MURMURACIÓN,FEMALE,True
LAS CINCO,FEMALE,True
LOS CINCO SENTIDOS,MALE,True
FEBO,MALE,True
AFECTO,MALE,True
GÉNERO HUMANO,MALE,True
EL,MALE,True
LAS MUJERES TODAS,FEMALE,True
UN MENDIGO,MALE,True
MENDIGO,MALE,True
SIMPLICIDAD,FEMALE,True
Y MÚSICA,FEMALE,True
APETITOY SIMPLICIDAD,MALE,True
JERÓNIMO,MALE,True
AMBROSIO,MALE,True
AGUSTÍN,MALE,True
TOMÁS,MALE,True
GREGORIO,MALE,True
DÉLFICA,FEMALE,True
PÉRSICA,FEMALE,True
CUMANA,FEMALE,True
TIBURTINA,FEMALE,True
LAS CUATRO,FEMALE,True
AUGUSTÍN,MALE,True
REGOCIJO,MALE,True
MÚSICA TODA,DIVERSE,True
SIBILAS,FEMALE,True
MAGÓN,MALE,True
MUJERES,FEMALE,True
FLAVIA,FEMALE,True
BRUNEL,MALE,True
SCIPIÓN,MALE,True
FABIO,MALE,True
LIVIA,FEMALE,True
EGIDIO,MALE,True
LUCEYO,MALE,True
ARMINDA,FEMALE,True
MÚSICOS,DIVERSE,True
MUJER,FEMALE,True
OTRAS,FEMALE,True
MÁXIMO,MALE,True
CELIO,MALE,True
FLORA,FEMALE,True
HOMBRES,MALE,True
CURCIO,MALE,True
INSPIRACIÓN,FEMALE,True
VILLANAS,FEMALE,True
EL PESAR Y EL  PLACER,MALE,True
CANTANDO,MALE,True
BAILANDO,MALE,True
PESAR,MALE,True
ARABIA,FEMALE,True
TARSIS,FEMALE,True
SABÁ,FEMALE,True
JOB,MALE,True
DAVID,MALE,True
FUROR,MALE,True
ESPINO,MALE,True
MORAL,FEMALE,True
LAUREL,MALE,True
OLIVA,FEMALE,True
ENCINA,FEMALE,True
ALMENDRO,MALE,True
VID,FEMALE,True
ESPIGA,FEMALE,True
CEDRO,MALE,True
MUSICA,FEMALE,True
TODOS JUNTOS,MALE,True
